date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:05:38	13577/13577	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2009%20Aug%202023%2002:46:33%20GMT	https://siplus.sinarharian.com.my/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	C:/Koleksi%20Ustaz%20Abdullah%20Khairi/Sinarharian%20plus/siplus.sinarharian.com.my/wp-includes/js/jquery/jquery-migrate.min5589.js	(from https://siplus.sinarharian.com.my/gaya-hidup/orang-tak-suka-dekat-kita-ustaz-abdullah-khairi-kongsi-tips-agar-disenangi-ramai/)
15:05:38	20216/20216	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2022%20Feb%202021%2004:28:25%20GMT	https://siplus.sinarharian.com.my/wp-content/themes/ever/assets/js/jquery.magnific-popup.min.js?ver=6.5.3	C:/Koleksi%20Ustaz%20Abdullah%20Khairi/Sinarharian%20plus/siplus.sinarharian.com.my/wp-content/themes/ever/assets/js/jquery.magnific-popup.minef10.js	(from https://siplus.sinarharian.com.my/gaya-hidup/orang-tak-suka-dekat-kita-ustaz-abdullah-khairi-kongsi-tips-agar-disenangi-ramai/)
15:05:38	27188/27188	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2022%20Feb%202021%2004:28:25%20GMT	https://siplus.sinarharian.com.my/wp-content/themes/ever/assets/js/waves-script.js?ver=6.5.3	C:/Koleksi%20Ustaz%20Abdullah%20Khairi/Sinarharian%20plus/siplus.sinarharian.com.my/wp-content/themes/ever/assets/js/waves-scriptef10.js	(from https://siplus.sinarharian.com.my/gaya-hidup/orang-tak-suka-dekat-kita-ustaz-abdullah-khairi-kongsi-tips-agar-disenangi-ramai/)
15:05:39	1481/1481	---M--	200	added ('OK')	image/png	date:Wed,%2024%20Feb%202021%2004:22:24%20GMT	https://siplus.sinarharian.com.my/wp-content/uploads/2021/02/cropped-LOGO-SINAR-ISLAM-32x32.png	C:/Koleksi%20Ustaz%20Abdullah%20Khairi/Sinarharian%20plus/siplus.sinarharian.com.my/wp-content/uploads/2021/02/cropped-LOGO-SINAR-ISLAM-32x32.png	(from https://siplus.sinarharian.com.my/gaya-hidup/orang-tak-suka-dekat-kita-ustaz-abdullah-khairi-kongsi-tips-agar-disenangi-ramai/)
15:05:39	14329/14329	---M--	200	added ('OK')	image/png	date:Wed,%2024%20Feb%202021%2004:22:24%20GMT	https://siplus.sinarharian.com.my/wp-content/uploads/2021/02/cropped-LOGO-SINAR-ISLAM-192x192.png	C:/Koleksi%20Ustaz%20Abdullah%20Khairi/Sinarharian%20plus/siplus.sinarharian.com.my/wp-content/uploads/2021/02/cropped-LOGO-SINAR-ISLAM-192x192.png	(from https://siplus.sinarharian.com.my/gaya-hidup/orang-tak-suka-dekat-kita-ustaz-abdullah-khairi-kongsi-tips-agar-disenangi-ramai/)
15:05:39	18608/18608	---M--	200	added ('OK')	image/png	date:Wed,%2024%20Feb%202021%2004:22:24%20GMT	https://siplus.sinarharian.com.my/wp-content/uploads/2021/02/cropped-LOGO-SINAR-ISLAM-180x180.png	C:/Koleksi%20Ustaz%20Abdullah%20Khairi/Sinarharian%20plus/siplus.sinarharian.com.my/wp-content/uploads/2021/02/cropped-LOGO-SINAR-ISLAM-180x180.png	(from https://siplus.sinarharian.com.my/gaya-hidup/orang-tak-suka-dekat-kita-ustaz-abdullah-khairi-kongsi-tips-agar-disenangi-ramai/)
15:05:40	413882/413882	---M--	200	added ('OK')	image/png	date:Tue,%2010%20Jan%202023%2010:23:37%20GMT	https://siplus.sinarharian.com.my/wp-content/uploads/2023/01/GAMBAR-PORTAL-FB-27.png	C:/Koleksi%20Ustaz%20Abdullah%20Khairi/Sinarharian%20plus/siplus.sinarharian.com.my/wp-content/uploads/2023/01/GAMBAR-PORTAL-FB-27.png	(from https://siplus.sinarharian.com.my/gaya-hidup/orang-tak-suka-dekat-kita-ustaz-abdullah-khairi-kongsi-tips-agar-disenangi-ramai/)
15:05:40	53141/53141	---M--	200	added ('OK')	image/jpeg	date:Wed,%2030%20Jun%202021%2008:59:06%20GMT	https://sinarislamplus.sinarharian.com.my/wp-content/uploads/2021/06/Untitled-design-2021-06-30T161205.971-1.jpg	C:/Koleksi%20Ustaz%20Abdullah%20Khairi/Sinarharian%20plus/sinarislamplus.sinarharian.com.my/wp-content/uploads/2021/06/Untitled-design-2021-06-30T161205.971-1.jpg	(from https://siplus.sinarharian.com.my/gaya-hidup/orang-tak-suka-dekat-kita-ustaz-abdullah-khairi-kongsi-tips-agar-disenangi-ramai/)
15:05:40	277479/277479	---M--	200	added ('OK')	image/png	date:Tue,%2010%20Jan%202023%2010:23:43%20GMT	https://sinarislamplus.sinarharian.com.my/wp-content/uploads/2023/01/GAMBAR-PORTAL-FB-26.png	C:/Koleksi%20Ustaz%20Abdullah%20Khairi/Sinarharian%20plus/sinarislamplus.sinarharian.com.my/wp-content/uploads/2023/01/GAMBAR-PORTAL-FB-26.png	(from https://siplus.sinarharian.com.my/gaya-hidup/orang-tak-suka-dekat-kita-ustaz-abdullah-khairi-kongsi-tips-agar-disenangi-ramai/)
15:05:40	48884/48884	---M--	200	added ('OK')	image/jpeg	date:Thu,%2020%20Oct%202022%2008:51:52%20GMT	https://siplus.sinarharian.com.my/wp-content/uploads/2022/10/pexels-konevi-4346403-400x250.jpg	C:/Koleksi%20Ustaz%20Abdullah%20Khairi/Sinarharian%20plus/siplus.sinarharian.com.my/wp-content/uploads/2022/10/pexels-konevi-4346403-400x250.jpg	(from https://siplus.sinarharian.com.my/gaya-hidup/orang-tak-suka-dekat-kita-ustaz-abdullah-khairi-kongsi-tips-agar-disenangi-ramai/)
15:05:41	141913/141913	---M--	200	added ('OK')	image/png	date:Tue,%2010%20Jan%202023%2010:54:01%20GMT	https://siplus.sinarharian.com.my/wp-content/uploads/2023/01/GAMBAR-PORTAL-FB-28-400x250.png	C:/Koleksi%20Ustaz%20Abdullah%20Khairi/Sinarharian%20plus/siplus.sinarharian.com.my/wp-content/uploads/2023/01/GAMBAR-PORTAL-FB-28-400x250.png	(from https://siplus.sinarharian.com.my/gaya-hidup/orang-tak-suka-dekat-kita-ustaz-abdullah-khairi-kongsi-tips-agar-disenangi-ramai/)
15:05:41	49931/49931	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2022%20Feb%202021%2004:28:25%20GMT	https://siplus.sinarharian.com.my/wp-content/themes/ever/assets/js/scripts.js?ver=6.5.3	C:/Koleksi%20Ustaz%20Abdullah%20Khairi/Sinarharian%20plus/siplus.sinarharian.com.my/wp-content/themes/ever/assets/js/scriptsef10.js	(from https://siplus.sinarharian.com.my/gaya-hidup/orang-tak-suka-dekat-kita-ustaz-abdullah-khairi-kongsi-tips-agar-disenangi-ramai/)
15:05:42	1102/1102	---M--	200	added ('OK')	image/png	date:Mon,%2022%20Feb%202021%2004:28:25%20GMT	https://siplus.sinarharian.com.my/wp-content/themes/ever/assets/img/email-bg.png	C:/Koleksi%20Ustaz%20Abdullah%20Khairi/Sinarharian%20plus/siplus.sinarharian.com.my/wp-content/themes/ever/assets/img/email-bg.png	(from https://siplus.sinarharian.com.my/wp-content/themes/ever/style.css?ver=6.5.3)
15:05:42	31221/31221	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2021%20May%202024%2007:05:43%20GMT	https://siplus.sinarharian.com.my/wp-content/themes/ever/owl.video.play.png	C:/Koleksi%20Ustaz%20Abdullah%20Khairi/Sinarharian%20plus/siplus.sinarharian.com.my/wp-content/themes/ever/owl.video.play.png	(from https://siplus.sinarharian.com.my/wp-content/themes/ever/style.css?ver=6.5.3)
15:05:42	4416/4416	---M--	200	added ('OK')	image/png	date:Mon,%2022%20Feb%202021%2004:28:25%20GMT	https://siplus.sinarharian.com.my/wp-content/themes/ever/assets/img/gif-button.png	C:/Koleksi%20Ustaz%20Abdullah%20Khairi/Sinarharian%20plus/siplus.sinarharian.com.my/wp-content/themes/ever/assets/img/gif-button.png	(from https://siplus.sinarharian.com.my/wp-content/themes/ever/style.css?ver=6.5.3)
